Municipio;ID;Unidad Poblacional;Habitantes
Acedera;000100;ACEDERA;131
Acedera;000200;GUADALPERALES (LOS);695
Aceuchal;000100;ACEUCHAL;5478
Ahillones;000100;AHILLONES;863
Alange;000100;ALANGE;1856
Albuera (La);000100;ALBUERA (LA);2035
Alburquerque;000100;ALBURQUERQUE;5080
Alburquerque;000200;BENAVENTE;102
Alburquerque;000300;CASAS DE SAN JUAN;64
Alburquerque;000400;SILVESTRE;11
Alburquerque;000500;TEJAREJO;36
Alconchel;000100;ALCONCHEL;1659
Alconera;000100;ALCONERA;743
Aljucén;000100;ALJUCÉN;246
Aljucén;000200;CHAPARRALES (LOS);4
Almendral;000100;ALMENDRAL;1239
Almendralejo;000100;ALMENDRALEJO;33273
Almendralejo;000200;SAN MARCOS;582
Arroyo de San Serván;000100;ARROYO DE SAN SERVÁN;4080
Atalaya;000100;ATALAYA;294
Azuaga;000100;AZUAGA;7631
Azuaga;000200;CARDENCHOSA (LA);116
Badajoz;000100;ALBALÁ;194
Badajoz;000200;ALCAZABA;235
Badajoz;000300;ALVARADO;400
Badajoz;000400;BADAJOZ;126737
Badajoz;000500;BALBOA;527
Badajoz;000600;BÓTOA;259
Badajoz;000700;CARBONERAS (LAS);14
Badajoz;000800;CORCHUELA (LA);313
Badajoz;000900;FRESNOS (LOS);737
Badajoz;001000;GÉVORA;2473
Badajoz;001200;NOVELDA DEL GUADIANA;931
Badajoz;001400;SAGRAJAS;571
Badajoz;001500;SANTA ENGRACIA;149
Badajoz;001600;VALDEBÓTOA;1301
Badajoz;001800;VILLAFRANCO DEL GUADIANA;1495
Badajoz;001900;ATALAYA (BADAJOZ);245
Badajoz;002000;CAMPOFRÍO;65
Badajoz;002100;CLUB CAMPO PINO;78
Badajoz;002200;CORAZÓN DE JESÚS;121
Badajoz;002300;CUARTEL DE SANCHA BRAVA;3
Badajoz;002400;DEHESILLA DE CALAMÓN;752
Badajoz;002500;GOLF GUADIANA;372
Badajoz;002600;MANANTÍO (EL);76
Badajoz;002700;MONTITOS (LOS);674
Badajoz;002800;PINARES (LOS);30
Badajoz;002900;RÍO CAYA;152
Badajoz;003000;TRES ARROYOS;398
Badajoz;003100;VAGUADAS (LAS);5337
Badajoz;003200;CERRO GORDO;5366
Badajoz;003300;PILARA (LA);979
Barcarrota;000100;BARCARROTA;3483
Baterno;000100;BATERNO;266
Benquerencia de la Serena;000100;BENQUERENCIA DE LA SERENA;272
Benquerencia de la Serena;000200;HELECHAL;317
Benquerencia de la Serena;000300;NAVA (LA);124
Benquerencia de la Serena;000400;PUERTO HURRACO;98
Benquerencia de la Serena;000500;PUERTO MEJORAL;1
Berlanga;000100;BERLANGA;2331
Bienvenida;000100;BIENVENIDA;2081
Bodonal de la Sierra;000100;BODONAL DE LA SIERRA;1036
Burguillos del Cerro;000100;BURGUILLOS DEL CERRO;3066
Cabeza del Buey;000100;ALMORCHÓN;56
Cabeza del Buey;000200;CABEZA DEL BUEY;4752
Cabeza la Vaca;000100;CABEZA LA VACA;1298
Calamonte;000100;CALAMONTE;6170
Calera de León;000100;CALERA DE LEÓN;930
Calzadilla de los Barros;000100;CALZADILLA DE LOS BARROS;736
Campanario;000100;CAMPANARIO;4791
Campanario;000200;GUARDA (LA);63
Campillo de Llerena;000100;CAMPILLO DE LLERENA;1343
Capilla;000100;CAPILLA;172
Carmonita;000100;CARMONITA;524
Carrascalejo (El);000100;CARRASCALEJO (EL);85
Carrascalejo (El);000200;CANCHO GORDO;0
Casas de Don Pedro;000100;CASAS DE DON PEDRO;1447
Casas de Reina;000100;CASAS DE REINA;199
Castilblanco;000100;CASTILBLANCO;915
Castuera;000100;CASTUERA;5777
Castuera;000200;PANTANO DEL ZÚJAR;7
Codosera (La);000100;BACOCO;98
Codosera (La);000200;CODOSERA (LA);1606
Codosera (La);000300;MARCO (EL);74
Codosera (La);000400;RABAZA (LA);100
Codosera (La);000500;TOJERA (LA);75
Codosera (La);000600;VARSE (LA);23
Codosera (La);000700;VEGA (LA);85
Cordobilla de Lácara;000100;CORDOBILLA DE LÁCARA;897
