Municipio;ID;Unidad Poblacional;Habitantes
Abadía;000100;ABADÍA;331
Abertura;000100;ABERTURA;407
Acebo;000100;ACEBO;579
Acehúche;000100;ACEHÚCHE;801
Aceituna;000100;ACEITUNA;607
Ahigal;000100;AHIGAL;1372
Albalá;000100;ALBALÁ;689
Alcántara;000100;ALCÁNTARA;1426
Alcántara;000200;ESTORNINOS;23
Alcántara;000300;POBLADO DE IBERDROLA;19
Alcollarín;000100;ALCOLLARÍN;289
Alcuéscar;000100;ALCUÉSCAR;2593
Aldeacentenera;000100;ALDEACENTENERA;578
Aldea del Cano;000100;ALDEA DEL CANO;600
Aldea del Obispo (La);000100;ALDEA DEL OBISPO (LA);303
Aldeanueva de la Vera;000100;ALDEANUEVA DE LA VERA;2066
Aldeanueva del Camino;000100;ALDEANUEVA DEL CAMINO;735
Aldehuela de Jerte;000100;ALDEHUELA DE JERTE;364
Alía;000100;ALÍA;700
Alía;000300;CALERA (LA);63
Alía;000400;GUADISA;0
Alía;000500;PANTANO DE CÍJARA;67
Alía;000600;PUERTO DEL REY;4
Aliseda;000100;ALISEDA;1835
Almaraz;000100;ALMARAZ;1744
Almoharín;000100;ALMOHARÍN;1811
Arroyo de la Luz;000100;ARROYO DE LA LUZ;5811
Arroyomolinos de la Vera;000100;ARROYOMOLINOS DE LA VERA;443
Arroyomolinos;000100;ARROYOMOLINOS;797
Baños de Montemayor;000100;BAÑOS DE MONTEMAYOR;759
Barrado;000100;BARRADO;401
Belvís de Monroy;000100;BELVÍS DE MONROY;406
Belvís de Monroy;000200;CASAS DE BELVÍS;319
Benquerencia;000100;BENQUERENCIA;81
Berrocalejo;000100;BERROCALEJO;100
Berzocana;000100;BERZOCANA;423
Bohonal de Ibor;000100;BOHONAL DE IBOR;500
Botija;000100;BOTIJA;175
Brozas;000100;BROZAS;1826
Cabañas del Castillo;000100;CABAÑAS DEL CASTILLO;28
Cabañas del Castillo;000200;RETAMOSA;72
Cabañas del Castillo;000300;ROTURAS;271
Cabañas del Castillo;000400;SOLANA;60
Cabezabellosa;000100;CABEZABELLOSA;344
Cabezuela del Valle;000100;CABEZUELA DEL VALLE;2194
Cabrero;000100;CABRERO;326
Cáceres;000100;CÁCERES;95401
Cáceres;000200;ESTACIÓN DE ARROYO-MALPARTIDA;64
Cáceres;000300;RINCÓN DE BALLESTEROS;112
Cáceres;000400;VALDESALOR;549
Cachorrilla;000100;CACHORRILLA;82
Cadalso;000100;CADALSO;431
Calzadilla;000100;CALZADILLA;475
Caminomorisco;000100;ARROLOBOS;128
Caminomorisco;000200;CAMBRÓN;22
Caminomorisco;000300;CAMBRONCINO;211
Caminomorisco;000400;CAMINOMORISCO;731
Caminomorisco;000500;DEHESILLA;21
Caminomorisco;000600;HUERTA;42
Caminomorisco;000700;RIOMALO DE ABAJO;39
Campillo de Deleitosa;000100;CAMPILLO DE DELEITOSA;79
Campo Lugar;000100;CAMPO LUGAR;443
Campo Lugar;000200;PIZARRO;390
Cañamero;000100;CAÑAMERO;1614
Cañaveral;000100;CAÑAVERAL;942
Cañaveral;000200;ESTACIÓN (LA);12
Cañaveral;000300;GRIMALDO;77
Carbajo;000100;CARBAJO;200
Carcaboso;000100;CARCABOSO;1058
Carcaboso;000200;VALDERROSA;42
Carrascalejo;000100;CARRASCALEJO;216
Casar de Cáceres;000100;CASAR DE CÁCERES;4458
Casar de Cáceres;000200;PERALA (LA);11
Casar de Palomero;000100;AZABAL;283
Casar de Palomero;000200;CASAR DE PALOMERO;719
Casar de Palomero;000300;PEDRO-MUÑOZ;58
Casar de Palomero;000400;RIVERA OVEJA;73
Casares de las Hurdes;000100;CARABUSINO;42
Casares de las Hurdes;000200;CASARRUBIA;22
Casares de las Hurdes;000300;CASARES DE LAS HURDES;150
Casares de las Hurdes;000400;HERAS;27
Casares de las Hurdes;000500;HUETRE (LA);143
Casares de las Hurdes;000600;ROBLEDO;33
Casas de Don Antonio;000100;CASAS DE DON ANTONIO;174
Casas de Don Gómez;000100;CASAS DE DON GÓMEZ;289
Casas del Castañar;000100;CASAS DEL CASTAÑAR;568
Casas del Monte;000100;CASAS DEL MONTE;820
Casas de Millán;000100;CASAS DE MILLÁN;567
Casas de Miravete;000100;CASAS DE MIRAVETE;132
Casatejada;000100;BALDÍO;22
Casatejada;000200;CASATEJADA;1338
Casillas de Coria;000100;CASILLAS DE CORIA;349
Castañar de Ibor;000100;CASTAÑAR DE IBOR;1054
Ceclavín;000100;CECLAVÍN;1840
Cedillo;000100;CEDILLO;440
Cerezo;000100;CEREZO;165
Cilleros;000100;CILLEROS;1624
Cilleros;000200;PARRERA;0
Collado de la Vera;000100;COLLADO;194
Collado de la Vera;000200;VEGA DE MESILLAS;1
Conquista de la Sierra;000100;CONQUISTA DE LA SIERRA;185
Coria;000100;CORIA;11452
Coria;000200;PUEBLA DE ARGEME;660
Coria;000300;RINCÓN DEL OBISPO;366
Cuacos de Yuste;000100;CUACOS DE YUSTE;841
Cumbre (La);000100;CUMBRE (LA);848
Deleitosa;000100;DELEITOSA;709
Descargamaría;000100;DESCARGAMARÍA;123
Eljas;000100;ELJAS;901
Eljas;000200;SOTO (EL);7
Escurial;000100;ESCURIAL;855
Fresnedoso de Ibor;000100;FRESNEDOSO DE IBOR;268
Galisteo;000200;AVARIENTOS;2
Galisteo;000300;FUENTE DEL SAPO;0
Galisteo;000400;GALISTEO;898
Galisteo;000600;SARTALEJO;7
Galisteo;000700;VIÑUELAS;11
Galisteo;000800;JARILLA DEL SUR;0
Garciaz;000100;GARCIAZ;709
Garganta (La);000100;GARGANTA (LA);378
Garganta la Olla;000100;GARGANTA LA OLLA;957
Gargantilla;000100;GARGANTILLA;389
Gargüera;000100;GARGÜERA;127
Garrovillas de Alconétar;000100;GARROVILLAS DE ALCONÉTAR;2034
Garvín;000100;GARVÍN DE LA JARA;95
Gata;000100;GATA;868
Gata;000200;MOHEDA (LA);579
Gordo (El);000100;GORDO (EL);367
Granja (La);000100;GRANJA (LA);328
Guadalupe;000100;GUADALUPE;1862
Guijo de Coria;000100;GUIJO DE CORIA;197
Guijo de Galisteo;000100;BATÁN (EL);805
