day,location,cases,cases7,IA7,cases14,IA14
2020-09-20,Acedera,1,-1,-1.00,-1,-1.00
2020-09-20,Guadalperales (Los),1,-1,-1.00,-1,-1.00
2020-09-20,Aceuchal,0,-1,-1.00,-1,-1.00
2020-09-20,Ahillones,0,-1,-1.00,-1,-1.00
2020-09-20,Alange,0,-1,-1.00,-1,-1.00
2020-09-20,Albuera (La),0,-1,-1.00,-1,-1.00
2020-09-20,Alburquerque,0,-1,-1.00,-1,-1.00
2020-09-20,Benavente,0,-1,-1.00,-1,-1.00
2020-09-20,Casas de San Juan,0,-1,-1.00,-1,-1.00
2020-09-20,Silvestre,0,-1,-1.00,-1,-1.00
2020-09-20,Tejarejo,0,-1,-1.00,-1,-1.00
2020-09-20,Alconchel,0,-1,-1.00,-1,-1.00
2020-09-20,Alconera,0,-1,-1.00,-1,-1.00
2020-09-20,Aljucén,0,-1,-1.00,-1,-1.00
2020-09-20,Chaparrales (Los),0,-1,-1.00,-1,-1.00
2020-09-20,Almendral,0,-1,-1.00,-1,-1.00
2020-09-20,Almendralejo,2,-1,-1.00,-1,-1.00
2020-09-20,San Marcos,0,-1,-1.00,-1,-1.00
2020-09-20,Arroyo de San Serván,0,-1,-1.00,-1,-1.00
2020-09-20,Atalaya,0,-1,-1.00,-1,-1.00
2020-09-20,Azuaga,0,-1,-1.00,-1,-1.00
2020-09-20,Cardenchosa (La),0,-1,-1.00,-1,-1.00
2020-09-20,Albalá,0,-1,-1.00,-1,-1.00
2020-09-20,Alcazaba,0,-1,-1.00,-1,-1.00
2020-09-20,Alvarado,0,-1,-1.00,-1,-1.00
2020-09-20,Badajoz,37,-1,-1.00,-1,-1.00
2020-09-20,Balboa,0,-1,-1.00,-1,-1.00
2020-09-20,Bótoa,0,-1,-1.00,-1,-1.00
2020-09-20,Carboneras (Las),0,-1,-1.00,-1,-1.00
2020-09-20,Corchuela (La),0,-1,-1.00,-1,-1.00
2020-09-20,Fresnos (Los),0,-1,-1.00,-1,-1.00
2020-09-20,Gévora,0,-1,-1.00,-1,-1.00
2020-09-20,Novelda del Guadiana,0,-1,-1.00,-1,-1.00
2020-09-20,Sagrajas,0,-1,-1.00,-1,-1.00
2020-09-20,Santa Engracia,0,-1,-1.00,-1,-1.00
2020-09-20,Valdebótoa,0,-1,-1.00,-1,-1.00
2020-09-20,Villafranco del Guadiana,0,-1,-1.00,-1,-1.00
2020-09-20,Atalaya (Badajoz),0,-1,-1.00,-1,-1.00
2020-09-20,Campofrío,0,-1,-1.00,-1,-1.00
2020-09-20,Club Campo Pino,0,-1,-1.00,-1,-1.00
2020-09-20,Corazón de Jesús,0,-1,-1.00,-1,-1.00
2020-09-20,Cuartel de Sancha Brava,0,-1,-1.00,-1,-1.00
2020-09-20,Dehesilla de Calamón,0,-1,-1.00,-1,-1.00
2020-09-20,Golf Guadiana,0,-1,-1.00,-1,-1.00
2020-09-20,Manantío (El),0,-1,-1.00,-1,-1.00
2020-09-20,Montitos (Los),0,-1,-1.00,-1,-1.00
2020-09-20,Pinares (Los),0,-1,-1.00,-1,-1.00
2020-09-20,Río Caya,0,-1,-1.00,-1,-1.00
2020-09-20,Tres Arroyos,0,-1,-1.00,-1,-1.00
2020-09-20,Vaguadas (Las),0,-1,-1.00,-1,-1.00
2020-09-20,Cerro Gordo,0,-1,-1.00,-1,-1.00
2020-09-20,Pilara (La),0,-1,-1.00,-1,-1.00
2020-09-20,Barcarrota,0,-1,-1.00,-1,-1.00
2020-09-20,Baterno,1,-1,-1.00,-1,-1.00
2020-09-20,Benquerencia de la Serena,0,-1,-1.00,-1,-1.00
2020-09-20,Helechal,0,-1,-1.00,-1,-1.00
2020-09-20,Nava (La),0,-1,-1.00,-1,-1.00
2020-09-20,Puerto Hurraco,0,-1,-1.00,-1,-1.00
2020-09-20,Puerto Mejoral,0,-1,-1.00,-1,-1.00
2020-09-20,Berlanga,0,-1,-1.00,-1,-1.00
2020-09-20,Bienvenida,0,-1,-1.00,-1,-1.00
2020-09-20,Bodonal de la Sierra,0,-1,-1.00,-1,-1.00
2020-09-20,Burguillos del Cerro,0,-1,-1.00,-1,-1.00
2020-09-20,Almorchón,0,-1,-1.00,-1,-1.00
2020-09-20,Cabeza del Buey,0,-1,-1.00,-1,-1.00
2020-09-20,Cabeza la Vaca,0,-1,-1.00,-1,-1.00
2020-09-20,Calamonte,0,-1,-1.00,-1,-1.00
2020-09-20,Calera de León,0,-1,-1.00,-1,-1.00
2020-09-20,Calzadilla de los Barros,0,-1,-1.00,-1,-1.00
2020-09-20,Campanario,7,-1,-1.00,-1,-1.00
2020-09-20,Guarda (La),0,-1,-1.00,-1,-1.00
2020-09-20,Campillo de Llerena,3,-1,-1.00,-1,-1.00
2020-09-20,Capilla,0,-1,-1.00,-1,-1.00
2020-09-20,Carmonita,0,-1,-1.00,-1,-1.00
2020-09-20,Carrascalejo (El),0,-1,-1.00,-1,-1.00
2020-09-20,Cancho Gordo,0,-1,-1.00,-1,-1.00
2020-09-20,Casas de Don Pedro,0,-1,-1.00,-1,-1.00
2020-09-20,Casas de Reina,0,-1,-1.00,-1,-1.00
2020-09-20,Castilblanco,1,-1,-1.00,-1,-1.00
2020-09-20,Castuera,5,-1,-1.00,-1,-1.00
2020-09-20,Pantano del Zújar,0,-1,-1.00,-1,-1.00
